title,artist,album,duration_seconds,audio_url,jamendo_track_id,jamendo_album_id
She Told me,Antarhes,Breathin' Again,192,https://prod-1.storage.jamendo.com/?trackid=6182&format=mp32&from=%2F2XJCuSfJaTni8TN8%2BFwSQ%3D%3D%7Ckn7OrjwhRKcLjHl%2BcOM9JA%3D%3D,6182,953
Una Noche,MAKKENZIE,Una Noche,188,https://prod-1.storage.jamendo.com/?trackid=1881164&format=mp32&from=7BIvn7S%2FSiDRghxCPD4IbA%3D%3D%7CLQPw1QYK5WrYqGBfRS%2FeqQ%3D%3D,1881164,453006
Blues for the Naive,K4MMERER,Sir Agent Chill,138,https://prod-1.storage.jamendo.com/?trackid=570067&format=mp32&from=C4h2%2FCcBtBbOSQqeVlJPvg%3D%3D%7CtK37UeIgoivz5znXrmGfUQ%3D%3D,570067,65809
Impulse,Basement Skylights,Basement Skylights,142,https://prod-1.storage.jamendo.com/?trackid=939886&format=mp32&from=2D9%2BJiTXdtxrwN6nwUtQYQ%3D%3D%7COS%2BLS80Zv%2BDO7uEp8Dhodw%3D%3D,939886,110373
When Paris is Singing,Dazie Mae,Last Jazz in Paris,191,https://prod-1.storage.jamendo.com/?trackid=1518105&format=mp32&from=QLHYFyyeYtbCGXtJHwvLYg%3D%3D%7CIBAxVwGRzw5LC%2F585Kg1nA%3D%3D,1518105,174481
Click Click (Instrumental),Grünemusik,Click Click Single,282,https://prod-1.storage.jamendo.com/?trackid=174404&format=mp32&from=ScfhXs93NzGYsxUcFb2gag%3D%3D%7CrknwtPVuu0%2F8q4NC17gBRw%3D%3D,174404,25833
Sounds From The Past,mindthings,Life's Path,256,https://prod-1.storage.jamendo.com/?trackid=34403&format=mp32&from=lLKnXBlzoyQCuf2%2B9YU%2BHA%3D%3D%7CsNiw33CVM2mjPoMtzLziAg%3D%3D,34403,4219
Unis Vert,Laurent Danis,Unis Vert,188,https://prod-1.storage.jamendo.com/?trackid=1214410&format=mp32&from=6X4OKurh%2F1bEXWoIxQyuBA%3D%3D%7CGLvLwb5tJcEOZHyELsmAZQ%3D%3D,1214410,231446
Athens,Pierce Murphy,Through The Olive Branches,249,https://prod-1.storage.jamendo.com/?trackid=1860165&format=mp32&from=plh0mA58sUGNl3fjSJo0RQ%3D%3D%7Ci%2B65roseeXQKl29HQnPcsw%3D%3D,1860165,201715
About Me,Angus & Friends,Intimacy,284,https://prod-1.storage.jamendo.com/?trackid=1171560&format=mp32&from=gpvkTx%2FB1d1RxrMfrla1Vg%3D%3D%7CnvFau1HoMVA0Hgso1Rl5eQ%3D%3D,1171560,141095
Rêves About U,FrenchLAB (French Laboratory Of),Mysterious Sounds,241,https://prod-1.storage.jamendo.com/?trackid=7247&format=mp32&from=BqPknLBZA%2FSglNv2YEZvMQ%3D%3D%7C2NBVbvs%2FxuqkdGcKbLLASg%3D%3D,7247,1098
Spark,Final Round,It Ends with Us Both Right Here EP,224,https://prod-1.storage.jamendo.com/?trackid=1159406&format=mp32&from=ph%2FXzBEwaLABp4Voj%2FhpxQ%3D%3D%7C%2FWt37BrV87jRALrF%2Boa12A%3D%3D,1159406,139192
Misbehaved,Dazie Mae,Dazie Mae (demo),198,https://prod-1.storage.jamendo.com/?trackid=261271&format=mp32&from=o7LC3TCmlE2sXfWc94N%2FoQ%3D%3D%7CEJm6KZKeXHYhaak1x2HChA%3D%3D,261271,37345
Good Omen,Quietly Concerned,Good Omen,171,https://prod-1.storage.jamendo.com/?trackid=1266296&format=mp32&from=5XqK6quqoflXpb16sg1yIQ%3D%3D%7CcLeBOP2Noa3H6mzyB9aO2Q%3D%3D,1266296,212530
Higher And Higher,Scream Inc.,Inception,231,https://prod-1.storage.jamendo.com/?trackid=1460209&format=mp32&from=tDc%2FeA1qgiEMjM5uR5GWxQ%3D%3D%7CFNNVkT0DWNlnGpUMGtpmug%3D%3D,1460209,169451
No Prayers,Pokki DJ,No Prayers,201,https://prod-1.storage.jamendo.com/?trackid=1668075&format=mp32&from=0qZApV7MAU2JONJ7cC28SQ%3D%3D%7C%2FTAKWlovrQMoWJt4ch5pcA%3D%3D,1668075,186136
If I'm Falling,Singleton,The High Seas,369,https://prod-1.storage.jamendo.com/?trackid=703364&format=mp32&from=7XSqZ3bxkjO2oRNC3fL1FA%3D%3D%7C7GHaCxUlCQDZJf5%2BT6m7%2Bg%3D%3D,703364,82013
Pride,Matt Confusion,Else,207,https://prod-1.storage.jamendo.com/?trackid=1385554&format=mp32&from=jF1rGGnGH%2FdZ%2Fq7gK7PDfw%3D%3D%7C7AR%2Ftwilj2MEgB6dct7Eyw%3D%3D,1385554,162540
So Crazy,D.B. Ricapito,So Crazy,170,https://prod-1.storage.jamendo.com/?trackid=1758797&format=mp32&from=QFtEzw%2BvlRFyXAui0RoYSQ%3D%3D%7CL2PfX3scbc7ysGGlpRLazw%3D%3D,1758797,242177
Explore the intro,Tymono,Explore the,193,https://prod-1.storage.jamendo.com/?trackid=1070604&format=mp32&from=0epIVTG0T3AsZgBQwGsllA%3D%3D%7CRdMc6crVFSrNJO7KswHIzA%3D%3D,1070604,126794
The SlowDown Pt1,Basement Skylights,Basement Skylights,179,https://prod-1.storage.jamendo.com/?trackid=939899&format=mp32&from=dGngvclC%2FiL8LUImcj0yrw%3D%3D%7COk1j6ChDUTZtccfAXC8t4w%3D%3D,939899,110373
like u.,Dutilleul,like u.,229,https://prod-1.storage.jamendo.com/?trackid=1399586&format=mp32&from=utX6hfKNwFam0c2gi9L9RA%3D%3D%7CSt1XANxo%2BaoT6qglHyUf3g%3D%3D,1399586,372794
Silent Tears,Roger Subirana Mata,Point of no return,380,https://prod-1.storage.jamendo.com/?trackid=168951&format=mp32&from=RVyZsBkQ1%2FD1w52FWbmAcA%3D%3D%7Cvw6uQo22bkXAnVXmu2bbfw%3D%3D,168951,24858
Choosing my life,Galdson,Roots,151,https://prod-1.storage.jamendo.com/?trackid=14028&format=mp32&from=%2F7oRX0OZn8rR%2FMi4sTWZSQ%3D%3D%7CPDNBE1HRBGTHSxKnp%2BOPmw%3D%3D,14028,2007
Manta-dive,K4MMERER,Leaving Paradise,197,https://prod-1.storage.jamendo.com/?trackid=384090&format=mp32&from=1EHgea7cK8G%2ByPfJ4MZDCg%3D%3D%7Cv8%2BqmiXAk0hz5DFefBOgSQ%3D%3D,384090,48669
Don't Follow Me,14ice_music,Show Me What You Got,314,https://prod-1.storage.jamendo.com/?trackid=951447&format=mp32&from=lPFic%2FUzo87BtVlqHerK8Q%3D%3D%7CW6TilhudQpqej673g6uL2w%3D%3D,951447,111863
Gimme Love Feat Eric Maseko,D JAY KOI,Gimme Love Feat Eric Maseko,171,https://prod-1.storage.jamendo.com/?trackid=1858689&format=mp32&from=zPpwXjBaFgRERsSiFjEumQ%3D%3D%7C8HMFEw60qXxJVlkPFg7laQ%3D%3D,1858689,290197
